AST_PER_GAME,BLK_PER_GAME,CONF_RANKS,CONTINENT,DRAFT_PICK,DRAFT_ROUND,DREB_PER_GAME,FG3A_PER_GAME,FG3M_PER_GAME,FGA_PER_GAME,FGM_PER_GAME,FROM_TANKING,FTA_PER_GAME,FTM_PER_GAME,GP,GS,HEIGHT,MIN,NEW_TEAM,OREB_PER_GAME,PF_PER_GAME,PLAYER,PLAYER_AGE,POSITION,PTS_PER_GAME,REB_PER_GAME,STL_PER_GAME,TEAM_ID,TOV_PER_GAME,TO_TANKING,WEIGHT,YEARS_IN_LEAGUE
1.243,1.357,8,2,27,1,8.329,0.043,0.0,7.8,5.143,0,4.857,3.129,70,0,215.9,2148,1,3.3,3.0,Rudy Gobert,30,5,13.414,11.629,0.8,1610612750,1.743,0,258,10
1.197,1.028,7,1,19,1,5.423,3.38,0.986,9.958,5.056,0,2.507,2.014,71,24,205.7,2130,0,1.085,3.099,John Collins,25,4,13.113,6.507,0.592,1610612737,1.113,0,226,6
3.35,0.638,1,1,42,2,3.312,3.175,1.138,9.262,4.475,0,1.912,1.45,80,60,193.0,2279,1,0.788,2.375,Bruce Brown,26,2,11.538,4.1,1.088,1610612743,1.538,0,202,5
2.138,0.15,8,1,-1,-1,2.612,7.038,2.462,9.875,4.05,0,1.112,0.975,80,0,195.6,2272,0,0.612,2.075,Max Strus,26,2,11.538,3.225,0.525,1610612748,0.875,0,215,4
3.878,0.324,4,1,20,1,3.095,4.378,1.716,10.027,4.324,0,2.432,1.757,74,33,198.1,2237,0,0.716,2.297,Caris LeVert,28,1,12.122,3.811,0.973,1610612739,1.568,0,205,7
2.736,1.194,9,2,9,1,5.792,0.014,0.0,8.583,5.403,0,2.792,1.653,72,5,215.9,1906,1,3.278,2.708,Jakob Poeltl,27,5,12.458,9.069,0.917,1610612761,1.736,0,245,7
6.588,0.132,15,1,41,2,2.779,2.324,0.662,10.926,5.015,0,2.529,2.176,68,68,185.4,1984,0,0.824,1.441,Tre Jones,23,1,12.868,3.603,1.309,1610612759,1.618,0,185,0
2.316,0.579,13,1,7,1,6.614,3.947,1.404,10.754,5.649,0,3.421,2.526,57,57,208.3,1690,0,2.105,2.789,Wendell Carter Jr.,23,4,15.228,8.719,0.526,1610612753,1.86,0,270,5
3.101,0.595,5,1,22,1,5.962,0.0,0.0,6.127,4.165,0,3.962,2.519,79,24,213.4,2053,1,2.899,2.747,Mason Plumlee,32,4,10.848,8.861,0.582,1610612746,1.481,0,254,10
2.652,0.362,5,1,7,1,1.71,5.159,1.913,9.464,4.217,0,2.507,2.058,69,57,190.5,1966,1,0.232,1.13,Eric Gordon,33,1,12.406,1.942,0.623,1610612746,1.507,0,215,15
3.706,0.544,12,1,13,1,4.971,3.471,1.368,8.191,4.088,0,3.412,2.912,68,8,210.8,1942,1,1.206,3.412,Kelly Olynyk,31,4,12.456,6.176,0.882,1610612762,2.471,0,240,10
8.444,0.306,14,1,3,1,5.25,10.639,4.0,20.028,8.222,0,3.389,2.833,36,36,200.7,1268,0,1.167,3.278,LaMelo Ball,21,1,23.278,6.417,1.278,1610612766,3.583,0,180,0
5.683,0.433,13,1,1,1,2.75,1.45,0.45,11.317,5.817,0,2.383,1.867,60,0,193.0,1778,0,1.15,2.183,Markelle Fultz,24,1,13.95,3.9,1.45,1610612753,2.317,0,209,6
3.359,0.297,7,1,-1,-1,2.5,3.375,1.344,7.656,4.047,0,4.141,3.578,64,64,195.6,1843,0,0.516,1.688,Austin Reaves,25,1,13.016,3.016,0.516,1610612747,1.547,0,197,0
